Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD,Change,Hour,Weekday,Month,Volatility,CandleBodyRatio,Year
22/01/2020,BTCUSD,8707.42,8707.42,8706.84,8706.84,0.0,0.0,-0.0100000000,02:00,Wednesday,January,0.0000666099,1.0000000000,2020
22/01/2020,BTCUSD,8728.48,8730,8695.31,8707.42,96.49,840659.02,-0.2400000000,01:00,Wednesday,January,0.0039743460,0.6070913808,2020
22/01/2020,BTCUSD,8717.89,8749.03,8708.14,8728.48,67.57,589419.98,0.1200000000,00:00,Wednesday,January,0.0046903551,0.2589875275,2020
21/01/2020,BTCUSD,8703.66,8747.23,8703.66,8717.89,89.66,783066.84,0.1600000000,23:00,Tuesday,January,0.0050059400,0.3266008722,2020
21/01/2020,BTCUSD,8713.93,8726.15,8673.44,8703.66,161.46,1405049.92,-0.1200000000,22:00,Tuesday,January,0.0060489354,0.1948396889,2020
21/01/2020,BTCUSD,8715.75,8778.66,8704.42,8713.93,188.0,1643409.69,-0.0200000000,21:00,Tuesday,January,0.0085179130,0.0245150862,2020
21/01/2020,BTCUSD,8506.67,8716.98,8506.67,8715.75,442.66,3828933.29,2.4600000000,20:00,Tuesday,January,0.0247229527,0.9941514907,2020
21/01/2020,BTCUSD,8611.63,8634.35,8480,8506.67,334.0,2848971.71,-1.2200000000,19:00,Tuesday,January,0.0179234361,0.6800129576,2020
21/01/2020,BTCUSD,8633.81,8638.65,8599.17,8611.63,161.89,1393991.35,-0.2600000000,18:00,Tuesday,January,0.0045727205,0.5618034448,2020
21/01/2020,BTCUSD,8625.57,8642.1,8611.72,8633.81,104.7,903426.9,0.1000000000,17:00,Tuesday,January,0.0035220861,0.2712310731,2020
21/01/2020,BTCUSD,8631.89,8650.39,8610,8625.57,147.39,1272078.09,-0.0700000000,16:00,Tuesday,January,0.0046791606,0.1564743748,2020
21/01/2020,BTCUSD,8641,8671.7,8630,8631.89,102.76,889036.12,-0.1054276125,15:00,Tuesday,January,0.0048258303,0.2184652278,2020
21/01/2020,BTCUSD,8647,8651.56,8632.19,8641,161.35,1394563.29,-0.0693882271,14:00,Tuesday,January,0.0022400833,0.3097573567,2020
21/01/2020,BTCUSD,8642.87,8656.88,8632.02,8647,56.24,486326.1,0.0477850529,13:00,Tuesday,January,0.0028763594,0.1661303298,2020
21/01/2020,BTCUSD,8644.98,8657.82,8614.33,8642.87,95.99,829131.09,-0.0200000000,12:00,Tuesday,January,0.0050306652,0.0485169004,2020
21/01/2020,BTCUSD,8646.87,8666.65,8625.81,8644.98,99.77,862735.01,-0.0200000000,11:00,Tuesday,January,0.0047230963,0.0462781587,2020
21/01/2020,BTCUSD,8617.67,8661.38,8589.1,8646.87,135.2,1165158.75,0.3400000000,10:00,Tuesday,January,0.0083874179,0.4039845047,2020
21/01/2020,BTCUSD,8636.83,8651.02,8610,8617.67,174.77,1507848.09,-0.2200000000,09:00,Tuesday,January,0.0047494277,0.4670892248,2020
21/01/2020,BTCUSD,8618.94,8654.03,8595.94,8636.83,176.51,1520091.44,0.2100000000,08:00,Tuesday,January,0.0067398079,0.3079703908,2020
21/01/2020,BTCUSD,8628.18,8641.75,8603.14,8618.94,80.77,695920.19,-0.1100000000,07:00,Tuesday,January,0.0044748719,0.2393162393,2020
21/01/2020,BTCUSD,8638.27,8647.48,8614.74,8628.18,114.9,991815.52,-0.1200000000,06:00,Tuesday,January,0.0037901108,0.3081857056,2020
21/01/2020,BTCUSD,8655,8666.47,8618.62,8638.27,90.66,783487.1,-0.1932986713,05:00,Tuesday,January,0.0055285962,0.3496342738,2020
21/01/2020,BTCUSD,8653.15,8683.73,8650.06,8655,81.75,708134.7,0.0213794976,04:00,Tuesday,January,0.0038910686,0.0549450549,2020
21/01/2020,BTCUSD,8645.38,8668.84,8638.95,8653.15,29.1,251790.9,0.0900000000,03:00,Tuesday,January,0.0034573379,0.2599531616,2020
21/01/2020,BTCUSD,8634.1,8660.47,8625.13,8645.38,123.01,1063039.75,0.1306447690,02:00,Tuesday,January,0.0040930728,0.3191850594,2020
