Month,PriceChange,Year,,,,
July,-21.31,2010,,,,
August,-1.80,2010,,,,
September,-0.20,2010,,,,
October,210.62,2010,,,,
November,7.03,2010,,,,
December,31.87,2010,,,,
January,75.05,2011,,,,
February,21.58,2011,,,,
March,-14.82,2011,,,,
April,352.13,2011,,,,
May,181.87,2011,,,,
June,68.18,2011,,,,
July,-13.28,2011,,,,
August,-37.02,2011,,,,
September,-37.53,2011,,,,
October,-35.14,2011,,,,
November,-6.46,2011,,,,
December,52.93,2011,,,,
January,4.60,2012,,,,
February,-19.79,2012,,,,
March,-0.66,2012,,,,
April,3.10,2012,,,,
May,3.90,2012,,,,
June,26.84,2012,,,,
July,40.65,2012,,,,
August,5.59,2012,,,,
September,23.84,2012,,,,
October,-10.03,2012,,,,
November,18.59,2012,,,,
December,7.57,2012,,,,
January,53.86,2013,,,,
February,63.26,2013,,,,
March,171.34,2013,,,,
April,34.32,2013,,,,
May,10.08,2013,,,,
June,-30.52,2013,,,,
July,18.29,2013,,,,
August,32.94,2013,,,,
September,-3.41,2013,,,,
October,59.34,2013,,,,
November,451.28,2013,,,,
December,-24.36,2013,,,,
January,6.76,2014,,,,
February,-32.21,2014,,,,
March,-19.77,2014,,,,
April,-6.29,2014,,,,
May,36.44,2014,,,,
June,1.41,2014,,,,
July,-9.48,2014,,,,
August,-19.78,2014,,,,
September,-17.97,2014,,,,
October,-11.94,2014,,,,
November,16.75,2014,,,,
December,-15.42,2014,,,,
January,-30.96,2015,,,,
February,12.26,2015,,,,
March,-6.12,2015,,,,
April,-4.39,2015,,,,
May,-1.42,2015,,,,
June,18.17,2015,,,,
July,10.29,2015,,,,
August,-18.10,2015,,,,
September,3.85,2015,,,,
October,31.86,2015,,,,
November,14.41,2015,,,,
December,18.52,2015,,,,
January,-15.72,2016,,,,
February,17.93,2016,,,,
March,-3.89,2016,,,,
April,7.84,2016,,,,
May,16.69,2016,,,,
June,25.42,2016,,,,
July,-7.78,2016,,,,
August,-5.64,2016,,,,
September,6.40,2016,,,,
October,13.57,2016,,,,
November,1.59,2016,,,,
December,28.57,2016,,,,
January,-2.88,2017,,,,
February,20.34,2017,,,,
March,-11.94,2017,,,,
April,26.84,2017,,,,
May,60.02,2017,,,,
June,2.20,2017,,,,
July,18.66,2017,,,,
August,73.81,2017,,,,
September,-11.87,2017,,,,
October,46.70,2017,,,,
November,48.62,2017,,,,
December,28.80,2017,,,,
January,-25.36,2018,,,,
February,14.02,2018,,,,
March,-36.63,2018,,,,
April,35.63,2018,,,,
May,-17.56,2018,,,,
June,-15.22,2018,,,,
July,21.44,2018,,,,
August,-7.52,2018,,,,
September,-8.17,2018,,,,
October,-3.89,2018,,,,
November,-37.36,2018,,,,
December,-11.11,2018,,,,
January,-10.45,2019,,,,
February,10.10,2019,,,,
March,7.44,2019,,,,
April,27.26,2019,,,,
May,60.98,2019,,,,
June,26.74,2019,,,,
July,-4.83,2019,,,,
August,-7.65,2019,,,,
September,-15.17,2019,,,,
October,10.11,2019,,,,
November,-18.32,2019,,,,
December,-3.37,2019,,,,
January,30.49,2020,,,,
