Date,Hour,Open,High,Low,Close,Volume,Change,Volatility,Candle_Body_Ratio,Weekday
01/01/2017,00:00,968.29,968.76,962.5,962.5,1148711.0,-0.5979613546,0.0064650053,0.9249201278,Sunday
01/01/2017,04:00,962.5,968.86,960.9,967.5,1307248.0,0.5194805195,0.0082701299,0.6281407035,Sunday
01/01/2017,08:00,967.5,979.45,965.43,977.99,2872444.0,1.0842377261,0.0144909561,0.7482168331,Sunday
01/01/2017,12:00,977.99,981.75,974.31,981.75,1553343.0,0.3844620088,0.0076074397,0.5053763441,Sunday
01/01/2017,16:00,981.75,1009.87,981.07,999.08,8802692.0,1.7652151770,0.0293353705,0.6017361111,Sunday
01/01/2017,20:00,999.08,1007.0,994.84,1002.16,4597916.0,0.3082836209,0.0121711975,0.2532894737,Sunday
02/01/2017,00:00,1002.16,1015.0,996.54,1008.01,5404357.0,0.5837391235,0.0184202123,0.3169014085,Monday
02/01/2017,04:00,1008.01,1022.54,1005.99,1022.54,3350228.0,1.4414539538,0.0164184879,0.8779456193,Monday
02/01/2017,08:00,1022.54,1030.05,1012.35,1029.76,5299600.0,0.7060848475,0.0173098363,0.4079096045,Monday
02/01/2017,12:00,1029.76,1033.0,997.35,1028.01,8413578.0,-0.1699425109,0.0346197172,0.0490883590,Monday
02/01/2017,16:00,1028.01,1035.0,1011.23,1014.0,6381186.0,-1.3628272099,0.0231223432,0.5893984013,Monday
02/01/2017,20:00,1014.0,1029.91,1003.73,1022.76,8174272.0,0.8639053254,0.0258185404,0.3346065699,Monday
03/01/2017,00:00,1022.76,1037.26,1020.01,1033.5,5094982.0,1.0500997301,0.0168661270,0.6226086957,Tuesday
03/01/2017,04:00,1033.5,1035.97,1015.0,1020.97,2718626.0,-1.2123850992,0.0202902758,0.5975202670,Tuesday
03/01/2017,08:00,1020.97,1020.98,1003.0,1017.98,2958652.0,-0.2928587520,0.0176107035,0.1662958843,Tuesday
03/01/2017,12:00,1017.98,1030.0,1016.0,1019.95,4607349.0,0.1935205014,0.0137527260,0.1407142857,Tuesday
03/01/2017,16:00,1019.95,1027.0,1018.11,1019.46,1436681.0,-0.0480415707,0.0087161135,0.0551181102,Tuesday
03/01/2017,20:00,1019.46,1040.66,1018.64,1036.9,4706314.0,1.7107095914,0.0215996704,0.7920072661,Tuesday
04/01/2017,00:00,1036.9,1051.55,1036.49,1050.6,4343232.0,1.3212460218,0.0145240621,0.9096945551,Wednesday
04/01/2017,04:00,1050.6,1070.0,1047.24,1065.74,4448759.0,1.4410812869,0.0216638112,0.6652021090,Wednesday
04/01/2017,08:00,1065.74,1093.92,1057.0,1085.01,6142485.0,1.8081333158,0.0346425958,0.5219393283,Wednesday
04/01/2017,12:00,1085.01,1108.0,1067.0,1090.32,13288854.0,0.4893964111,0.0377876702,0.1295121951,Wednesday
04/01/2017,16:00,1090.32,1177.9,1089.16,1133.49,15103818.0,3.9593880696,0.0813889500,0.4864773496,Wednesday
04/01/2017,20:00,1133.49,1175.98,1102.76,1154.76,16578120.0,1.8765053066,0.0645969528,0.2904944004,Wednesday
05/01/2017,00:00,1154.76,1160.0,1116.66,1152.37,7682338.0,-0.2069694136,0.0375316083,0.0551453623,Thursday
05/01/2017,04:00,1152.37,1180.45,1152.1,1165.36,5489778.0,1.1272421184,0.0246014735,0.4582010582,Thursday
05/01/2017,08:00,1165.36,1165.37,1032.3,1092.47,19739305.0,-6.2547195716,0.1141878904,0.5477568197,Thursday
05/01/2017,12:00,1092.47,1095.11,876.08,984.64,36495277.0,-9.8702939211,0.2004906313,0.4923069899,Thursday
