date,PriceUSD,Day of the week,Month,Change
19/07/2010,0.080800000,Monday,July,-5.871388630
20/07/2010,0.074735729,Tuesday,July,-7.505285891
21/07/2010,0.079192863,Wednesday,July,5.963859669
22/07/2010,0.058469760,Thursday,July,-26.167892175
23/07/2010,0.060592870,Friday,July,3.631124875
24/07/2010,0.054540000,Saturday,July,-9.989409645
25/07/2010,0.050540618,Sunday,July,-7.332933627
26/07/2010,0.056000000,Monday,July,10.801969220
27/07/2010,0.058622016,Tuesday,July,4.682171429
28/07/2010,0.058911099,Wednesday,July,0.493130431
29/07/2010,0.069900000,Thursday,July,18.653362756
30/07/2010,0.064657382,Friday,July,-7.500168813
31/07/2010,0.067545799,Saturday,July,4.467265625
01/08/2010,0.061100000,Sunday,August,-9.542856988
02/08/2010,0.060000000,Monday,August,-1.800327332
03/08/2010,0.060012151,Tuesday,August,0.020251667
04/08/2010,0.057015780,Wednesday,August,-4.992940513
05/08/2010,0.061000000,Thursday,August,6.987925097
06/08/2010,0.061671315,Friday,August,1.100516393
07/08/2010,0.059003945,Saturday,August,-4.325138843
08/08/2010,0.060900000,Sunday,August,3.213437678
09/08/2010,0.070400000,Monday,August,15.599343186
10/08/2010,0.069338729,Tuesday,August,-1.507487216
11/08/2010,0.067000000,Wednesday,August,-3.372904340
12/08/2010,0.070000000,Thursday,August,4.477611940
13/08/2010,0.064500000,Friday,August,-7.857142857
14/08/2010,0.066996434,Saturday,August,3.870440310
15/08/2010,0.065117932,Sunday,August,-2.803883562
16/08/2010,0.065500000,Monday,August,0.586732392
17/08/2010,0.070000000,Tuesday,August,6.870229008
18/08/2010,0.068000000,Wednesday,August,-2.857142857
19/08/2010,0.066700000,Thursday,August,-1.911764706
20/08/2010,0.065500000,Friday,August,-1.799100450
21/08/2010,0.066400000,Saturday,August,1.374045802
22/08/2010,0.065928989,Sunday,August,-0.709353916
23/08/2010,0.064910000,Monday,August,-1.545585660
24/08/2010,0.065000000,Tuesday,August,0.138653520
25/08/2010,0.064800000,Wednesday,August,-0.307692308
26/08/2010,0.064075114,Thursday,August,-1.118651235
27/08/2010,0.065000000,Friday,August,1.443440272
28/08/2010,0.064600000,Saturday,August,-0.615384615
29/08/2010,0.064000000,Sunday,August,-0.928792570
30/08/2010,0.064970000,Monday,August,1.515625000
31/08/2010,0.060000000,Tuesday,August,-7.649684470
01/09/2010,0.062024828,Wednesday,September,3.374713333
02/09/2010,0.063400000,Thursday,September,2.217131501
03/09/2010,0.060850000,Friday,September,-4.022082019
04/09/2010,0.062178276,Saturday,September,2.182869351
05/09/2010,0.061650000,Sunday,September,-0.849615065
06/09/2010,0.061600000,Monday,September,-0.081103001
07/09/2010,0.061239118,Tuesday,September,-0.585847403
08/09/2010,0.061000000,Wednesday,September,-0.390466107
09/09/2010,0.061114971,Thursday,September,0.188477049
